Product Details,ASIN,Brand,Price,Sales,Revenue,BSR,FBA Fees,Active Sellers #,Ratings,Review Count,Images,Review velocity,Buy Box,Category,Size Tier,Delivery,Dimensions,Weight,Creation Date
(2 Pack) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 2 PACK BUNDLE,B00URRHQ80,Dragonfly Tea,9.07,,0,"3,50,620",2.93,1,,,4,0,Superfood Market,Drinks,Standard Parcel,MFN,5.5x6.9x2.9,0.18,16-03-2015
(2 PACK) - Evian Mineral Water | 500 x 24ml x | 2 PACK - SUPER SAVER - SAVE M...,B016IW64E4,Danone Waters Uk And Ireland L,23.50,162,"3,807.00","9,714",,5,4.8,100,1,2,Shop In & Out,Drinks,,MFN,,,28-07-2015
(2 PACK) - Evian Mineral Water | 500 x 24ml x | 2 PACK - SUPER SAVER - SAVE M...,B016IW64E4,Danone Waters Uk And Ireland L,23.50,162,"3,807.00","9,714",,5,4.8,100,1,2,Shop In & Out,Drinks,,MFN,,,28-07-2015
(2 Pack) - Provamel - Coconut & Rice Drink | 1000ml | 2 PACK BUNDLE,B00URRCL7G,Provamel By Alpro,9.19,,0,"3,54,932",2.96,1,,,2,0,Superfood Market,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,16-03-2015
(2 Pack) - Rude Health - Organic Coconut Drink | 1000ml | 2 PACK BUNDLE,B00URRU4AC,Rude Health,8.32,2,16.64,"1,67,565",2.90,2,,,2,0,Best4Deals,Fresh & Chilled,Small Oversize,MFN,5.9x7.9x2.0,0.44,16-03-2015
(3 PACK) - Aloe Pura - Aloe Vera Juice Cranberry | 1000ml | 3 PACK BUNDLE,B00V6HA3OE,Aloe Pura,25.15,35,880.25,"34,921",,3,4.7,44,2,0,SuperfoodUK,Drinks,,MFN,,,25-03-2015
(3 PACK) - Clipper - Organic Raspberry Leaf Tea | 20 Bag | 3 PACK BUNDLE,B00V6HI40O,Clipper,7.84,32,250.88,"35,102",2.97,6,4.7,112,3,0,What Britain buys,Drinks,Small Oversize,FBA,5.4x5.6x3.5,0.47,25-03-2015
(3 PACK) - Dragonfly Tea - Organic Mountain Honeybush Tea | 20 sachet | 3 PACK BUNDLE,B00V6I117Q,Dragonfly Tea,9.42,4,37.68,"77,150",,2,3.5,5,4,0,Best4Deals,Drinks,,MFN,,,16-09-2015
(3 PACK) - Dragonfly Tea - Vanilla Rooibos Tea | 40 Bag | 3 PACK BUNDLE,B00V6HZYNE,Dragonfly Teas,13.87,24,332.88,"65,659",3.92,3,4.5,39,2,0,Superfood Market,Drinks,Small Oversize,MFN,5.9x7.9x2.0,0.44,25-03-2015
(3 PACK) - Ecomil - Org Hazelnut Drink | 1000ml | 3 PACK BUNDLE,B00V6HRYZ0,Ecomil,,,,"6,52,981",,1,5.0,1,2,0,,Fresh & Chilled,,MFN,,,16-09-2015
